frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
301,7.8260,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
302,7.8516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
303,7.8818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
304,7.9083,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
305,7.9381,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
306,7.9639,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
307,7.9903,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
308,8.0202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
309,8.0450,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
310,8.0750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311,8.1006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
312,8.1308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
313,8.1561,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
314,8.1861,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
315,8.2116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316,8.2370,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317,8.2621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318,8.2871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
319,8.3123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
320,8.3372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
321,8.3621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
322,8.3869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
323,8.4111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
324,8.4361,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
325,8.4613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
326,8.4863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
327,8.5114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
328,8.5363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
329,8.5616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
330,8.5900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
331,8.6196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
332,8.6446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
333,8.6699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
334,8.6947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
335,8.7199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
336,8.7444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
337,8.7702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
338,8.7993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
339,8.8246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
340,8.8499,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
341,8.8750,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
342,8.9008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
343,8.9270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
344,8.9531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
345,8.9802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
346,9.0081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
347,9.0399,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
348,9.0670,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
349,9.0963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
350,9.1237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
351,9.1510,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
352,9.1840,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
353,9.2182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
354,9.2537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
355,9.2830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
356,9.3127,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
357,9.3470,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
358,9.3766,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
359,9.4133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
360,9.4480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
361,9.4768,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
362,9.5053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
363,9.5354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
364,9.5716,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
365,9.6013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
366,9.6305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
367,9.6599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
368,9.6906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
369,9.7198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
370,9.7493,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
371,9.7797,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
