frame,wall_time,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
744,1786065121.6620,15.5226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
745,1786065121.6830,15.5436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
746,1786065121.7044,15.5650,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
747,1786065121.7242,15.5848,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
748,1786065121.7452,15.6058,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
749,1786065121.7655,15.6261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
750,1786065121.7871,15.6477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
751,1786065121.8079,15.6684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
752,1786065121.8286,15.6892,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
753,1786065121.8469,15.7075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
754,1786065121.8678,15.7283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
755,1786065121.8872,15.7478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
756,1786065121.9080,15.7686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
757,1786065121.9333,15.7939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
758,1786065121.9528,15.8134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
759,1786065121.9731,15.8337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
760,1786065121.9909,15.8514,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
761,1786065122.0125,15.8731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
762,1786065122.0365,15.8971,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
763,1786065122.0579,15.9185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
764,1786065122.0783,15.9389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
765,1786065122.0961,15.9567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
766,1786065122.1157,15.9763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
767,1786065122.1402,16.0008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
768,1786065122.1583,16.0189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
769,1786065122.1842,16.0448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
770,1786065122.2023,16.0629,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
771,1786065122.2236,16.0841,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
772,1786065122.2454,16.1060,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
773,1786065122.2688,16.1294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
774,1786065122.2880,16.1485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
775,1786065122.3079,16.1685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
776,1786065122.3253,16.1859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
777,1786065122.3566,16.2172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
778,1786065122.3741,16.2346,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
779,1786065122.3911,16.2517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
780,1786065122.4173,16.2778,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
781,1786065122.4447,16.3052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
782,1786065122.4573,16.3179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
783,1786065122.4711,16.3316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
784,1786065122.4927,16.3533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
785,1786065122.5207,16.3813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
786,1786065122.5374,16.3980,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
787,1786065122.5574,16.4179,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
788,1786065122.5812,16.4418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
789,1786065122.6077,16.4683,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
790,1786065122.6170,16.4775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
791,1786065122.6481,16.5086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
792,1786065122.6606,16.5212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
793,1786065122.6840,16.5446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
794,1786065122.6997,16.5603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
795,1786065122.7250,16.5856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
796,1786065122.7460,16.6066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
797,1786065122.7710,16.6316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
798,1786065122.7845,16.6451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
799,1786065122.8066,16.6672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
800,1786065122.8352,16.6958,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
801,1786065122.8533,16.7139,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
